sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
6842;SDS011;3460;52.028;8.916;2020-08-23T07:16:15;4.17;;;1.73;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:18:45;4.77;;;1.73;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:21:15;8.27;;;2.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:23:45;4.83;;;1.67;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:26:22;5.13;;;1.80;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:28:57;6.73;;;2.17;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:31:32;6.47;;;2.33;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:34:01;7.37;;;1.97;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:36:29;8.30;;;2.30;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:39:02;6.83;;;2.30;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:41:33;6.30;;;2.30;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:44:10;15.70;;;9.57;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:46:42;4.63;;;1.97;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:49:13;5.60;;;2.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:51:44;7.33;;;2.53;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:54:15;4.60;;;2.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:56:46;9.13;;;2.27;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:59:16;4.77;;;2.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:01:48;6.67;;;2.27;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:04:21;4.17;;;1.97;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:06:56;14.33;;;6.07;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:09:28;5.63;;;2.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:12:00;7.83;;;2.40;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:14:34;9.07;;;2.40;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:17:05;7.27;;;2.00;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:19:37;5.93;;;2.07;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:22:07;6.00;;;2.30;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:24:38;8.40;;;2.07;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:27:11;6.10;;;2.80;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:29:47;11.77;;;2.47;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:32:15;6.17;;;2.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:34:43;6.03;;;2.00;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:37:13;10.77;;;2.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:39:46;5.60;;;1.90;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:42:16;8.30;;;2.30;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:44:48;6.80;;;2.17;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:47:20;4.57;;;2.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:49:51;9.33;;;2.63;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:52:23;7.43;;;2.37;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:54:53;5.73;;;2.30;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:57:23;11.00;;;5.77;;
6842;SDS011;3460;52.028;8.916;2020-08-23T08:59:54;7.97;;;3.33;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:02:26;6.93;;;2.33;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:04:58;4.97;;;2.40;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:07:27;6.90;;;2.90;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:10:00;5.37;;;2.47;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:12:32;9.33;;;2.60;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:15:04;5.93;;;2.47;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:17:36;4.50;;;2.17;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:20:06;9.40;;;2.77;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:22:44;4.67;;;2.40;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:25:13;5.07;;;2.37;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:27:42;6.37;;;2.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:30:11;3.87;;;2.30;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:32:44;4.30;;;2.00;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:35:17;7.53;;;2.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:37:50;4.40;;;2.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:40:21;7.10;;;2.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:42:51;5.27;;;2.40;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:45:22;6.13;;;2.17;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:47:54;3.57;;;2.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:50:27;13.00;;;6.53;;
